topicId,Dm8Nbn,Flab8at,Flab8ax,GE8MTD2,MITSLStd,Mer8Adtd2,UB99T,apl8c221,att99ate,isa25t,mds08a2,ok8amxc,pir9Aa1,plt8ah2,ric8dpn
427,0.3333,0.3738,0.5179,1.0,1.0,0.8667,0.0,0.6679,0.7153,0.0,0.4943,0.7079,0.5422,0.5688,1.0
428,0.1111,0.5238,0.6222,0.9214,0.6393,0.25,0.0,0.7117,0.325,0.5,0.2778,0.5536,0.4266,0.1,0.1736
429,0.7778,0.225,0.2111,1.0,0.3373,0.7153,0.4167,0.25,0.3333,0.0,0.3715,0.5167,0.4111,0.0,0.475
430,0.3833,0.85,0.7556,0.6862,0.9167,0.6083,0.125,0.8667,0.3833,0.0,0.8056,0.7917,0.7708,0.9167,1.0
431,0.7544,1.0,1.0,0.916,0.9627,0.9283,0.9861,0.9861,0.9889,0.1736,0.7857,0.9468,0.9667,1.0,0.6376
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.0,0.0
433,0.0,1.0,1.0,0.3333,0.7,0.1429,0.0,0.0,0.325,0.0,0.3929,0.125,0.5,0.0,0.2778
434,0.0,0.5947,1.0,0.8389,0.9468,0.8386,0.1111,0.9056,0.6968,0.5,0.9889,0.9283,0.7233,0.7603,1.0
435,0.25,0.25,0.4333,0.7929,1.0,0.4167,0.8254,0.8386,0.4362,0.0,0.7556,0.6806,0.8042,0.8667,0.6667
436,0.0,0.8262,0.8593,1.0,0.6087,0.6458,0.0,0.3875,0.975,0.1429,0.2,0.0,0.8056,0.2,0.5792
437,0.25,0.0,0.0,0.75,0.3333,0.1429,0.1,0.0,0.0,0.0,0.1429,0.1,0.1111,0.0,0.0
438,0.0,0.0,0.1625,0.747,0.9705,0.7343,0.4833,0.2361,0.2778,0.0,0.7181,0.5931,0.2,1.0,0.7514
439,1.0,0.5,0.4167,0.7875,0.25,0.375,0.0,0.0,0.5,0.0,0.25,0.225,0.2852,0.2,0.1667
440,0.0,0.1429,0.6433,1.0,0.3175,0.6111,0.3417,0.3798,1.0,0.2,0.0,0.759,0.3806,0.0,0.9094
441,0.747,0.9085,0.8803,0.8106,0.9472,0.7608,1.0,0.8917,0.9478,0.8254,0.8632,0.9484,0.8214,0.8976,0.9087
442,0.0,0.0,0.125,0.0,0.625,0.1667,0.0,0.5833,0.0,0.0,1.0,0.1714,0.2,0.25,0.9167
443,0.0,0.4676,0.5933,0.7862,0.4889,0.2,0.625,0.1,0.4106,0.225,0.3667,0.6347,0.3972,0.2157,0.35
444,0.5,1.0,0.9889,0.7968,1.0,0.9765,0.5,1.0,1.0,0.0,1.0,0.9765,0.9889,0.0,0.9627
445,0.0,0.9705,0.9472,0.9889,0.975,0.6389,0.5676,0.826,1.0,0.2667,0.9821,0.9583,0.6667,0.6862,0.5327
446,0.0,1.0,0.7079,0.9765,0.6333,0.8976,0.0,0.9472,0.9468,0.0,0.7049,0.8957,0.6667,0.0,0.0
447,0.0,0.25,1.0,0.0,0.4833,0.0,0.0,0.906,0.0,0.0,0.9,0.8262,0.9821,0.9167,0.8393
448,0.0,0.0,0.25,0.9167,0.5,0.7778,0.1111,0.0,0.0,0.0,0.5,0.3655,0.1667,1.0,0.3333
449,0.1667,0.3556,0.7595,0.5972,0.1833,0.7049,0.5,0.8111,0.4439,0.0,0.4167,0.625,0.2619,0.6676,0.4405
450,0.6376,1.0,0.9526,1.0,0.7407,0.9415,0.1429,1.0,1.0,0.6045,0.9765,0.8783,0.8339,1.0,0.6536
