topicId,Dm8Nbn,Flab8at,Flab8ax,GE8MTD2,MITSLStd,Mer8Adtd2,UB99T,apl8c221,att99ate,isa25t,mds08a2,ok8amxc,pir9Aa1,plt8ah2,ric8dpn
420,0.02,0.32,0.34,0.28,0.3,0.3,0.08,0.34,0.32,0.1,0.28,0.32,0.36,0.24,0.22
421,0.02,0.1,0.02,0.16,0.1,0.04,0.04,0.02,0.12,0.04,0.04,0.14,0.08,0.08,0.16
422,0.0,0.8,0.8,0.3,0.64,0.56,0.06,0.46,0.32,0.0,0.26,0.68,0.28,0.12,0.18
423,0.1,0.28,0.3,0.24,0.34,0.28,0.18,0.32,0.26,0.06,0.32,0.3,0.4,0.32,0.32
424,0.04,0.26,0.56,0.56,0.64,0.4,0.16,0.48,0.14,0.08,0.12,0.54,0.44,0.02,0.34
425,0.32,0.86,0.76,0.82,0.84,0.58,0.14,0.52,0.76,0.02,0.68,0.84,0.38,0.6,0.56
426,0.04,0.32,0.42,0.76,0.32,0.14,0.04,0.14,0.06,0.04,0.16,0.18,0.46,0.04,0.1
427,0.1,0.26,0.26,0.38,0.3,0.22,0.1,0.34,0.22,0.0,0.24,0.44,0.3,0.24,0.24
428,0.04,0.46,0.48,0.42,0.52,0.34,0.02,0.5,0.4,0.12,0.3,0.48,0.46,0.18,0.42
429,0.08,0.22,0.22,0.14,0.22,0.16,0.06,0.18,0.2,0.02,0.22,0.22,0.22,0.0,0.22
430,0.1,0.12,0.12,0.12,0.12,0.12,0.02,0.12,0.12,0.02,0.1,0.12,0.12,0.12,0.12
431,0.36,0.68,0.7,0.76,0.6,0.76,0.5,0.66,0.68,0.04,0.68,0.64,0.4,0.64,0.54
432,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.12,0.02,0.0,0.0
433,0.0,0.04,0.04,0.06,0.1,0.04,0.0,0.08,0.1,0.0,0.06,0.04,0.1,0.02,0.1
434,0.22,0.78,0.92,0.7,0.86,0.56,0.3,0.44,0.62,0.02,0.62,0.88,0.46,0.58,0.82
435,0.1,0.34,0.36,0.42,0.16,0.14,0.26,0.48,0.36,0.04,0.14,0.32,0.22,0.1,0.32
436,0.06,0.44,0.44,0.6,0.46,0.2,0.04,0.18,0.54,0.1,0.18,0.3,0.22,0.1,0.32
437,0.02,0.06,0.08,0.18,0.1,0.06,0.08,0.0,0.08,0.04,0.1,0.04,0.06,0.08,0.06
438,0.02,0.18,0.08,0.44,0.46,0.4,0.3,0.24,0.24,0.08,0.26,0.48,0.14,0.2,0.36
439,0.4,0.08,0.08,0.18,0.12,0.14,0.02,0.04,0.08,0.02,0.06,0.06,0.06,0.06,0.06
440,0.04,0.34,0.42,0.2,0.2,0.12,0.08,0.38,0.46,0.02,0.14,0.32,0.3,0.06,0.38
441,0.18,0.3,0.24,0.22,0.34,0.24,0.04,0.24,0.28,0.2,0.34,0.26,0.34,0.22,0.34
442,0.0,0.02,0.1,0.02,0.06,0.08,0.0,0.08,0.0,0.0,0.1,0.1,0.04,0.04,0.08
443,0.0,0.32,0.24,0.24,0.54,0.18,0.18,0.18,0.22,0.04,0.24,0.26,0.24,0.26,0.16
444,0.04,0.26,0.22,0.16,0.32,0.28,0.02,0.32,0.3,0.0,0.3,0.3,0.3,0.02,0.32
445,0.1,0.3,0.28,0.54,0.32,0.24,0.16,0.28,0.4,0.06,0.28,0.3,0.3,0.16,0.3
446,0.08,0.74,0.68,0.62,0.6,0.36,0.02,0.54,0.74,0.0,0.16,0.7,0.24,0.06,0.0
447,0.02,0.1,0.28,0.06,0.14,0.04,0.0,0.24,0.08,0.0,0.28,0.32,0.32,0.2,0.26
448,0.02,0.0,0.18,0.12,0.04,0.08,0.04,0.08,0.0,0.0,0.04,0.16,0.04,0.06,0.04
449,0.06,0.2,0.18,0.2,0.18,0.24,0.04,0.24,0.2,0.0,0.22,0.24,0.18,0.18,0.18
450,0.7,0.92,0.78,0.84,0.86,0.64,0.22,0.76,0.92,0.38,0.84,0.74,0.72,0.78,0.7
